Date,Open,High,Low,Close,Adj close,Volume
2010-06-07,1239.3,1244.7,1211.0,1239.3,1239.3,859
2010-06-08,1241.5,1252.1,1234.1,1244.0,1244.0,763
2010-06-09,1237.0,1238.2,1222.0,1228.5,1228.5,446
2010-06-10,1232.8,1233.5,1215.1,1220.8,1220.8,488
2010-06-11,1228.9,1229.6,1218.0,1228.9,1228.9,481
2010-06-14,1223.2,1232.7,1217.7,1223.3,1223.3,989
2010-06-15,1222.6,1236.0,1222.4,1233.2,1233.2,251
2010-06-16,1229.3,1229.3,1229.3,1229.3,1229.3,318
2010-06-17,1233.9,1251.1,1233.9,1247.5,1247.5,266
2010-06-18,1247.7,1261.5,1242.9,1257.2,1257.2,130
2010-06-21,1257.4,1264.8,1232.0,1239.7,1239.7,219
2010-06-22,1239.9,1242.8,1232.1,1239.9,1239.9,172
2010-06-23,1233.9,1245.1,1226.9,1234.1,1234.1,100
2010-06-24,1236.4,1248.1,1230.7,1245.5,1245.5,253
2010-06-25,1246.7,1256.9,1243.7,1255.8,1255.8,159
2010-06-28,1238.2,1238.2,1238.2,1238.2,1238.2,351
2010-06-29,1242.0,1245.0,1228.5,1242.0,1242.0,417
2010-06-30,1245.5,1246.2,1236.7,1245.5,1245.5,73
2010-07-01,1206.3,1242.4,1204.5,1206.3,1206.3,50
2010-07-02,1201.4,1211.6,1200.8,1207.4,1207.4,169
2010-07-06,1207.3,1211.8,1190.5,1194.8,1194.8,52
2010-07-07,1198.6,1198.6,1198.6,1198.6,1198.6,18
2010-07-08,1195.8,1203.3,1189.3,1195.8,1195.8,93
2010-07-09,1209.6,1213.0,1195.0,1209.6,1209.6,22
2010-07-12,1198.5,1198.5,1198.5,1198.5,1198.5,45
2010-07-13,1213.3,1217.4,1205.2,1213.3,1213.3,53
2010-07-14,1212.0,1213.8,1202.4,1206.8,1206.8,54
2010-07-15,1208.1,1208.1,1208.1,1208.1,1208.1,32
2010-07-16,1188.0,1188.0,1188.0,1188.0,1188.0,46
2010-07-19,1181.7,1182.2,1180.0,1181.7,1181.7,4
